Date,Cured,Deaths,Confirmed
2020-03-21 00:00:00,0,0,2
2020-03-22 00:00:00,0,0,2
2020-03-23 00:00:00,0,0,2
2020-03-24 00:00:00,0,1,3
2020-03-25 00:00:00,0,1,3
2020-03-26 00:00:00,0,1,3
2020-03-27 00:00:00,0,1,3
2020-03-28 00:00:00,0,1,3
2020-03-29 00:00:00,0,1,3
2020-03-30 00:00:00,0,1,3
2020-03-31 00:00:00,0,1,3
2020-04-01 00:00:00,0,1,3
2020-04-02 00:00:00,1,1,3
2020-04-03 00:00:00,1,1,6
2020-04-04 00:00:00,1,1,6
2020-04-05 00:00:00,1,1,6
2020-04-06 00:00:00,2,1,13
2020-04-07 00:00:00,2,1,13
2020-04-08 00:00:00,2,1,18
2020-04-09 00:00:00,2,1,18
2020-04-10 00:00:00,6,1,28
2020-04-11 00:00:00,6,1,28
2020-04-12 00:00:00,6,1,32
2020-04-13 00:00:00,13,1,32
2020-04-14 00:00:00,13,1,32
