Date,Cured,Deaths,Confirmed
2020-03-07 00:00:00,0,0,1
2020-03-08 00:00:00,0,0,1
2020-03-09 00:00:00,0,0,1
2020-03-10 00:00:00,0,0,1
2020-03-11 00:00:00,0,0,1
2020-03-12 00:00:00,0,0,1
2020-03-13 00:00:00,0,0,1
2020-03-14 00:00:00,0,0,1
2020-03-15 00:00:00,0,0,1
2020-03-16 00:00:00,0,0,1
2020-03-17 00:00:00,0,0,1
2020-03-18 00:00:00,0,0,1
2020-03-19 00:00:00,1,0,1
2020-03-20 00:00:00,1,0,2
2020-03-21 00:00:00,1,0,2
2020-03-22 00:00:00,1,0,6
2020-03-23 00:00:00,1,0,8
2020-03-24 00:00:00,1,0,14
2020-03-25 00:00:00,1,0,17
2020-03-26 00:00:00,1,1,25
2020-03-27 00:00:00,1,1,28
2020-03-28 00:00:00,2,1,38
2020-03-29 00:00:00,4,1,45
2020-03-30 00:00:00,4,1,63
2020-03-31 00:00:00,4,1,70
2020-04-01 00:00:00,6,1,228
2020-04-02 00:00:00,6,1,228
2020-04-03 00:00:00,6,1,303
2020-04-04 00:00:00,6,2,405
2020-04-05 00:00:00,6,3,479
2020-04-06 00:00:00,8,5,563
2020-04-07 00:00:00,8,5,613
2020-04-08 00:00:00,19,7,671
2020-04-09 00:00:00,21,8,717
2020-04-10 00:00:00,21,8,813
2020-04-11 00:00:00,44,8,867
2020-04-12 00:00:00,44,10,925
2020-04-13 00:00:00,50,11,1025
2020-04-14 00:00:00,58,11,1115
