Date,Cured,Deaths,Confirmed
2020-03-15 00:00:00,0,0,1
2020-03-16 00:00:00,0,0,1
2020-03-17 00:00:00,0,0,1
2020-03-18 00:00:00,0,0,1
2020-03-19 00:00:00,0,0,1
2020-03-20 00:00:00,0,0,3
2020-03-21 00:00:00,0,0,3
2020-03-22 00:00:00,0,0,3
2020-03-23 00:00:00,0,0,3
2020-03-24 00:00:00,0,0,4
2020-03-25 00:00:00,0,0,4
2020-03-26 00:00:00,0,0,5
2020-03-27 00:00:00,0,0,5
2020-03-28 00:00:00,0,0,5
2020-03-29 00:00:00,2,0,5
2020-03-30 00:00:00,2,0,5
2020-03-31 00:00:00,2,0,5
2020-04-01 00:00:00,2,0,5
2020-04-02 00:00:00,2,0,5
2020-04-03 00:00:00,2,0,8
2020-04-04 00:00:00,2,0,14
2020-04-05 00:00:00,2,0,20
2020-04-06 00:00:00,4,0,22
2020-04-07 00:00:00,5,0,26
2020-04-08 00:00:00,5,0,26
2020-04-09 00:00:00,5,0,30
2020-04-10 00:00:00,5,0,30
2020-04-11 00:00:00,5,0,30
2020-04-12 00:00:00,5,0,30
2020-04-13 00:00:00,5,0,30
2020-04-14 00:00:00,7,0,28
2020-04-15 00:00:00,9,0,28
2020-04-16 00:00:00,9,0,28
2020-04-17 00:00:00,9,0,28
2020-04-18 00:00:00,9,0,33
2020-04-19 00:00:00,9,0,33
