Date,Cured,Deaths,Confirmed
2020-03-18 00:00:00,0,0,1
2020-03-19 00:00:00,0,0,1
2020-03-20 00:00:00,0,0,2
2020-03-21 00:00:00,0,0,3
2020-03-22 00:00:00,0,0,4
2020-03-23 00:00:00,0,0,7
2020-03-24 00:00:00,0,1,8
2020-03-25 00:00:00,0,1,8
2020-03-26 00:00:00,0,1,9
2020-03-27 00:00:00,0,1,9
2020-03-28 00:00:00,0,1,14
2020-03-29 00:00:00,0,1,17
2020-03-30 00:00:00,0,1,21
2020-03-31 00:00:00,0,2,24
2020-04-01 00:00:00,6,3,28
2020-04-02 00:00:00,6,3,44
2020-04-03 00:00:00,3,3,57
2020-04-04 00:00:00,3,3,63
2020-04-05 00:00:00,10,3,67
2020-04-06 00:00:00,10,3,67
2020-04-07 00:00:00,13,3,75
2020-04-08 00:00:00,13,5,81
2020-04-09 00:00:00,16,5,82
2020-04-10 00:00:00,16,5,95
2020-04-11 00:00:00,16,5,105
2020-04-12 00:00:00,19,5,110
2020-04-13 00:00:00,29,7,116
2020-04-14 00:00:00,36,7,147
2020-04-15 00:00:00,37,7,169
2020-04-16 00:00:00,42,7,182
2020-04-17 00:00:00,51,10,194
2020-04-18 00:00:00,55,10,222
2020-04-19 00:00:00,62,12,236
